bc_wells,Cycling_y,Treg,NaÃ¯ve/Memory,Effector
32_45_38__s1,0,21.217513429000366,32.71576132841045,46.06672524258917
32_48_42__s1,0,40.93115377490349,50.34759072270839,8.721255502388123
32_53_39__s1,0,22.376826883684224,77.62317311631577,0
32_70_90__s1,5.777814062764978,19.79983377117236,66.11091440590407,8.311437760158578
32_77_17__s1,0,25.525536655403513,61.250824102178434,13.22363924241805
25_01_53__s1,1.194905641352368,4.130214997918572,76.12965037730201,18.545228983427034
25_02_17__s1,19.823862890526005,0,51.41445080866999,28.76168630080401
25_03_96__s1,4.851555373821643,8.190550749918613,62.502464022514445,24.455429853745294
25_04_27__s1,0,11.341100151469021,66.85718890241023,21.801710946120735
25_04_28__s1,4.621800279557467,11.561353402942629,48.958135590063826,34.85871072743609
25_05_30__s1,0,43.656942235278905,37.25228076412229,19.090777000598795
25_06_38__s1,0,0,70.91005901676645,29.089940983233546
25_07_07__s1,11.257003313020334,4.336703109338268,54.30599634108654,30.100297236554844
25_07_16__s1,0,13.226194018294294,57.444050532680954,29.32975544902475
25_10_84__s1,15.77000415688701,16.053779374137793,56.16805395586654,12.008162513108653
25_12_01__s1,0.33035552978444843,8.311422690237947,56.95084533062496,34.407376449352654
25_12_10__s1,0,6.065222339161513,93.93477766083849,0
25_12_80__s1,0,0.8941317937202901,62.35748456748469,36.748383638795026
25_13_36__s1,0,17.376467735496515,70.4771838944161,12.1463483700874
25_13_75__s1,0.1770566621860288,3.8918008130180364,69.4426835155533,26.48845900924264
25_14_71__s1,0,9.87467610569032,40.936684238622796,49.18863965568689
25_14_90__s1,0,16.321364935691825,57.2721142232237,26.40652084108447
25_17_43__s1,0,1.9902081157882605,66.30747358329646,31.7023183009153
25_17_65__s1,0,3.8498831245207406,74.46121105476277,21.688905820716496
25_18_60__s1,0,17.103308641149045,63.425417835682985,19.471273523167962
25_18_68__s1,0,14.301888669086718,60.78822611521938,24.909885215693908
25_19_41__s1,0,7.304148298239312,69.10828497962622,23.587566722134472
25_19_58__s1,34.252499583525555,8.766535790069993,28.338460520286347,28.642504106118118
25_19_89__s1,12.939397038575635,8.264914876735231,41.692212990009814,37.103475094679325
25_23_03__s1,0,5.385433690328336,67.63611266930275,26.978453640368926
25_25_18__s1,0,28.90744094078144,43.42984518795154,27.66271387126702
25_25_76__s1,22.68840053541834,24.1920311206279,39.11581500880158,14.003753335152183
25_27_10__s1,0,8.603864178777824,64.4847218072199,26.911414014002276
25_27_77__s1,0,9.886489690910755,66.58486383227266,23.528646476816576
25_27_84__s1,0.4778001281886107,6.804347381454945,62.43503858755152,30.282813902804918
25_28_08__s1,0,10.501065456053372,54.28979049069456,35.209144053252075
25_28_79__s1,0,11.31803193594635,59.97771849334816,28.704249570705493
25_29_35__s1,0,36.20242776685475,34.10130516589553,29.69626706724973
25_29_83__s1,0,0,66.9156708833593,33.08432911664071
25_30_95__s1,11.913037622132721,5.913111096892585,48.281842071357055,33.89200920961765
25_32_75__s1,12.591197060131204,10.027207074056225,54.19746707167853,23.184128794134036
25_33_25__s1,2.774321294092864,10.107860810310445,51.75510562351127,35.36271227208543
25_35_67__s1,0,6.372712910150358,68.14226880013572,25.485018289713924
25_37_12__s1,8.389757912723136,2.731671163721698,62.95729126829529,25.92127965525987
25_37_49__s1,0,8.435279299050595,72.6774598224359,18.887260878513494
25_37_64__s1,0.9371680681156291,6.5089061111736175,55.62447724074809,36.92944857996267
25_38_16__s1,0.094118188609857,9.47492149827536,62.22450248173895,28.206457831375836
25_38_34__s1,0,4.429293110024402,64.18938264915896,31.38132424081665
25_38_43__s1,0,6.6868305531337695,65.1733222022922,28.139847244574025
25_39_02__s1,32.718308612929086,5.903204585890025,44.02224211572128,17.35624468545961
25_39_69__s1,0,21.70176919210213,60.421717387608396,17.876513420289477
25_40_67__s1,23.193038445566412,10.083280174034934,44.6317510304699,22.091930349928756
25_41_01__s1,12.34899369395531,9.864132445340227,52.244039189590985,25.54283467111348
25_41_81__s1,7.6527935387800365,6.415914536368642,64.3331235462458,21.598168378605507
25_43_55__s1,10.111476822649793,8.675562115798694,49.31294748621284,31.900013575338654
25_46_04__s1,0,21.307462932140634,42.22863125514505,36.463905812714316
25_46_32__s1,0,11.407295234385884,66.02582389438086,22.566880871233256
25_47_27__s1,0,25.249997700629418,56.42407152277427,18.325930776596312
25_47_64__s1,0,4.301360563657341,72.01036443274349,23.68827500359916
25_48_21__s1,0.12159154853662717,3.6966980576523665,68.6471403810959,27.534570012715125
25_49_12__s1,9.895576356360367,5.961594876223701,56.68942026878302,27.453408498632914
25_49_17__s1,36.58305433234662,0,44.29937359404399,19.117572073609384
25_49_43__s1,0,31.25704136156851,53.75651043103801,14.98644820739348
25_50_28__s1,7.845539811416162,9.431787280196971,50.300599828942275,32.42207307944459
25_50_66__s1,39.69223572138228,6.537798250474823,38.91840451886475,14.851561509278158
25_50_86__s1,0.1937524652563874,3.0393235019939144,68.38976426326619,28.3771597694835
25_52_78__s1,0,0,59.701273823549585,40.29872617645042
25_52_93__s1,0,42.17624749910619,32.44577810033531,25.377974400558507
25_54_48__s1,0,6.74306570506657,56.473843443836834,36.78309085109658
25_55_05__s1,0,8.546762502000941,63.6633161047848,27.78992139321428
25_56_84__s1,24.916197003210765,4.44187871721714,50.67504678983692,19.966877489735168
25_58_34__s1,15.420827994100192,11.211853951792012,52.647603317964496,20.71971473614331
25_58_94__s1,12.073636548392033,6.737119963064465,50.55845297513626,30.630790513407234
25_60_96__s1,0,11.629184051907535,69.12828099037503,19.24253495771742
25_62_03__s1,0,2.005861122617667,67.63036220433034,30.363776673051994
25_62_40__s1,6.5595088549647,11.491778678648688,54.12941634520442,27.819296121182198
25_62_50__s1,0,36.676962262184944,39.86037904819255,23.462658689622508
25_62_81__s1,3.7454927785362226,2.4830556536524444,57.368379392943595,36.40307217486775
25_62_83__s1,8.795154139777974,11.245561459094787,52.49299831466675,27.466286086460485
25_64_23__s1,30.38696743098772,3.022232733896396,46.704244116203334,19.88655571891254
25_64_41__s1,15.539506759320593,13.200842118258112,31.879130882735947,39.38052023968536
25_66_02__s1,0,20.505817574718975,64.84054169822954,14.653640727051503
25_66_09__s1,0,50.95731342406897,49.042686575931015,0
25_68_67__s1,12.793059023364476,16.075726602951608,62.56941115421502,8.561803219468906
25_69_80__s1,20.84994907353047,7.474323218022678,54.868059561044014,16.807668147402836
25_70_17__s1,0,2.7605790397818635,65.12686189453217,32.11255906568598
25_70_61__s1,5.843892751789516,6.900325640244875,58.348299202790166,28.907482405175454
25_71_13__s1,0,3.3938380863011375,63.63984332023016,32.9663185934687
25_71_52__s1,2.254075550137604,3.7275211242321067,45.40904141102096,48.60936191460933
25_72_06__s1,0,9.854325297866248,64.03680131576994,26.10887338636382
25_74_05__s1,0,3.954236512821785,61.926267174927084,34.11949631225112
25_74_96__s1,0,11.773702320416305,50.70568182247898,37.52061585710471
25_76_56__s1,1.3485007492986791,4.44179506461227,67.97519191494929,26.234512271139753
25_78_33__s1,0,18.47568136522183,64.99624629432861,16.528072340449558
25_79_31__s1,6.179895874021399,11.480835193492666,60.888805415622,21.450463516863937
25_80_50__s1,0,18.85989197056745,38.02459670318964,43.11551132624291
25_80_84__s1,0,19.794388669246665,60.92334571310951,19.282265617643827
25_81_13__s1,0,5.979622871517003,62.27857267832485,31.741804450158146
25_82_61__s1,39.761784299961825,1.4350321824864356,40.79014303696973,18.01304048058201
25_83_10__s1,30.962151451385616,2.5532679361050548,49.630967976131735,16.85361263637759
25_83_94__s1,0,32.1845587258202,47.96705236381792,19.848388910361876
25_84_01__s1,0,34.69772717311964,43.44837587491423,21.853896951966114
25_84_32__s1,0,5.7223237501295845,71.7813063846564,22.496369865214003
25_85_55__s1,0,3.1364660060926406,60.691203763415245,36.172330230492115
25_86_44__s1,0,6.239513552446664,45.46580981740987,48.294676630143464
25_86_48__s1,0,9.266556760637101,59.49191796372095,31.24152527564194
25_87_30__s1,0,7.101440571995458,75.5266073637797,17.371952064224836
25_87_90__s1,0.7998059204594762,9.456912000034375,68.94123590645921,20.80204617304693
25_88_47__s1,36.349152030184044,3.927150012024189,39.18788996159412,20.535807996197644
25_89_75__s1,3.7470161719249466,4.788679660568175,69.2194152762577,22.244888891249172
25_90_87__s1,16.829901658821875,3.610263144217791,30.93287495589528,48.62696024106506
25_92_25__s1,0,16.19587415077397,64.02638213675577,19.777743712470254
