bc_wells,Cycling_y,Treg,NaÃ¯ve/Memory,Effector
32_45_38__s1,0,21.217513429000377,32.71576132841048,46.06672524258914
32_48_42__s1,0,40.93115377490348,50.347590722708404,8.72125550238812
32_53_39__s1,0,22.3768268836842,77.6231731163158,0
32_70_90__s1,5.777814062764976,19.79983377117234,66.11091440590413,8.311437760158572
32_77_17__s1,0,25.525536655403503,61.25082410217847,13.223639242418042
25_01_53__s1,1.1949056413523673,4.130214997918545,76.12965037730208,18.545228983427002
25_02_17__s1,19.82386289052599,0,51.41445080867002,28.761686300803973
25_03_96__s1,4.851555373821643,8.190550749918595,62.50246402251448,24.45542985374528
25_04_27__s1,0,11.341100151468995,66.85718890241029,21.801710946120707
25_04_28__s1,4.621800279557465,11.561353402942618,48.95813559006385,34.85871072743606
25_05_30__s1,0,43.656942235278926,37.252280764122304,19.090777000598784
25_06_38__s1,0,0,70.9100590167665,29.089940983233507
25_07_07__s1,11.257003313020332,4.336703109338244,54.30599634108659,30.100297236554834
25_07_16__s1,0,13.226194018294283,57.44405053268099,29.32975544902472
25_10_84__s1,15.770004156887001,16.053779374137783,56.16805395586657,12.008162513108651
25_12_01__s1,0.3303555297844498,8.311422690237926,56.95084533062502,34.40737644935261
25_12_10__s1,0,6.065222339161477,93.93477766083852,0
25_12_80__s1,0,0.8941317937202627,62.357484567484754,36.748383638794984
25_13_36__s1,0,17.37646773549649,70.47718389441611,12.146348370087388
25_13_75__s1,0.17705666218602822,3.89180081301801,69.44268351555336,26.488459009242593
25_14_71__s1,0,9.87467610569032,40.93668423862283,49.18863965568684
25_14_90__s1,0,16.321364935691815,57.272114223223745,26.406520841084447
25_17_43__s1,0,1.9902081157882354,66.3074735832965,31.702318300915262
25_17_65__s1,0,3.8498831245207117,74.46121105476283,21.688905820716474
25_18_60__s1,0,17.103308641149027,63.42541783568302,19.47127352316795
25_18_68__s1,0,14.301888669086704,60.788226115219416,24.909885215693887
25_19_41__s1,0,7.3041482982392925,69.10828497962626,23.587566722134447
25_19_58__s1,34.252499583525534,8.76653579006999,28.33846052028638,28.642504106118103
25_19_89__s1,12.939397038575626,8.264914876735228,41.69221299000985,37.10347509467929
25_23_03__s1,0,5.385433690328315,67.63611266930279,26.978453640368887
25_25_18__s1,0,28.90744094078145,43.42984518795156,27.662713871266998
25_25_76__s1,22.688400535418324,24.19203112062789,39.1158150088016,14.003753335152169
25_27_10__s1,0,8.6038641787778,64.48472180721997,26.911414014002244
25_27_77__s1,0,9.88648969091074,66.5848638322727,23.528646476816544
25_27_84__s1,0.47780012818861606,6.804347381454935,62.43503858755156,30.28281390280489
25_28_08__s1,0,10.501065456053354,54.2897904906946,35.20914405325204
25_28_79__s1,0,11.318031935946332,59.977718493348206,28.704249570705453
25_29_35__s1,0,36.20242776685475,34.10130516589554,29.69626706724971
25_29_83__s1,0,0,66.91567088335934,33.084329116640674
25_30_95__s1,11.913037622132716,5.913111096892569,48.2818420713571,33.892009209617605
25_32_75__s1,12.5911970601312,10.027207074056214,54.19746707167856,23.184128794134008
25_33_25__s1,2.774321294092865,10.107860810310434,51.75510562351129,35.3627122720854
25_35_67__s1,0,6.3727129101503355,68.14226880013578,25.485018289713896
25_37_12__s1,8.38975791272313,2.7316711637216655,62.957291268295364,25.921279655259845
25_37_49__s1,0,8.435279299050567,72.67745982243594,18.887260878513473
25_37_64__s1,0.9371680681156304,6.508906111173599,55.624477240748135,36.92944857996262
25_38_16__s1,0.09411818860985924,9.47492149827534,62.224502481738995,28.206457831375808
25_38_34__s1,0,4.429293110024378,64.18938264915901,31.38132424081661
